#date, start, end
2015-12-26, 05:30, 07:10
2015-12-26, 09:30, 10:30
2015-12-27, 00:00, 02:30
2015-12-27, 10:00, 10:45
2015-12-27, 22:30, 23:59
2015-12-28, 11:30, 12:00
2015-12-29, 10:00, 10:30
2016-01-17, 16:00, 17:00
2016-01-18, 12:30, 14:30
2016-01-18, 15:45, 16:30
2016-01-19, 12:00, 23:59
2016-01-20, 00:00, 03:00
2016-01-20, 09:00, 15:00
2016-01-21, 01:30, 02:45
2016-01-21, 18:00, 19:00
2016-01-22, 09:00, 10:00
2016-01-22, 12:30, 13:30
2016-01-22, 18:30, 20:15
2016-01-23, 01:30, 02:00
2016-01-23, 21:00, 23:59
2016-01-25, 02:15, 07:15
2016-01-26, 00:00, 07:00
2016-01-26, 09:00, 10:00
2016-02-26, 22:00, 23:59
2016-02-27, 00:00, 14:00
2016-03-07, 00:00, 10:00
2016-03-08, 21:00, 23:59
2016-03-09, 00:00, 03:30
2016-03-09, 08:45, 09:45
2016-03-09, 21:00, 23:59
2016-03-10, 00:00, 02:00
2016-03-15, 03:00, 06:00
2016-03-15, 08:30, 10:00
2016-03-23, 00:00, 10:00
2016-03-26, 12:00, 13:00
2016-04-28, 00:00, 10:00

