#frequency	gain	sigma[°]	Ae
9.909833363852774255e+02 1.690249720517649445e-09 1.318378389305264964e+00 2.598953108808213841e+01
9.919599584935605208e+02 1.656370706268275374e-09 1.318366642038666381e+00 2.593884224134808036e+01
9.929365806018433886e+02 1.594872704769144281e-09 1.318343339386678803e+00 2.588875535928315230e+01
9.939132027101262565e+02 1.516254655471584524e-09 1.318306993937093052e+00 2.583932545051873575e+01
9.948898248184091244e+02 1.432154123888520858e-09 1.318252012807174633e+00 2.579076746354311567e+01
9.958664469266921060e+02 1.352470356610035732e-09 1.318167297355396617e+00 2.574350945814541092e+01
9.968430690349749739e+02 1.283668006094908453e-09 1.318036868715860788e+00 2.569816657286851580e+01
9.978196911432579554e+02 1.228512117141105671e-09 1.317842366672877574e+00 2.565544284407853581e+01
9.987963132515410507e+02 1.186870845545551254e-09 1.317566629292972635e+00 2.561599247368395638e+01
9.997729353598242596e+02 1.156951203411689677e-09 1.317197556832912397e+00 2.558027153425163647e+01
1.000749557468107469e+03 1.136406121984423134e-09 1.316731572904745740e+00 2.554840615685688832e+01
1.001726179576390450e+03 1.123028130713236837e-09 1.316176234469221162e+00 2.552009364352171161e+01
1.002702801684673318e+03 1.115040227603961857e-09 1.315551636071617736e+00 2.549454944226225095e+01
1.003679423792956300e+03 1.111157407105092806e-09 1.314890432511723439e+00 2.547050654297186867e+01
1.004656045901239168e+03 1.110548156459818692e-09 1.314236524741316803e+00 2.544626606056072404e+01
1.005632668009522149e+03 1.112758048514837525e-09 1.313642593335830888e+00 2.541979297704481056e+01
1.006609290117805131e+03 1.117586795103734608e-09 1.313166787609124198e+00 2.538884637852668291e+01
1.007585912226087999e+03 1.124922760612826238e-09 1.312868845133931650e+00 2.535113436842860679e+01
1.008562534334370980e+03 1.134633375944610150e-09 1.312805766894606929e+00 2.530448864663703645e+01
1.009539156442653848e+03 1.146568429304078617e-09 1.313027019104146653e+00 2.524705837287603316e+01
1.010515778550936830e+03 1.160635434234716349e-09 1.313569357428683304e+00 2.517751668198243209e+01
1.011492400659219811e+03 1.176841907629168709e-09 1.314451803179463640e+00 2.509525545636982358e+01
1.012469022767502679e+03 1.195244137212044548e-09 1.315671788153331967e+00 2.500052545607993082e+01
1.013445644875785661e+03 1.215844716324834208e-09 1.317203322132905585e+00 2.489448729561292240e+01
1.014422266984068528e+03 1.238523086346005633e-09 1.318997010439986850e+00 2.477918133746053542e+01
1.015398889092351851e+03 1.263021039179556079e-09 1.320980636428170651e+00 2.465746943923940293e+01
1.016375511200635174e+03 1.288927634261273248e-09 1.323059661711189605e+00 2.453297833679590667e+01
1.017352133308918155e+03 1.315629102053347304e-09 1.325116981209091271e+00 2.441007459620335851e+01
1.018328755417201023e+03 1.342276533580944375e-09 1.327014003961479949e+00 2.429379928392904020e+01
1.019305377525484005e+03 1.367893542480437727e-09 1.328594463257917191e+00 2.418971839429844550e+01
1.020281999633766873e+03 1.391654749943585777e-09 1.329692116390817080e+00 2.410365665149895875e+01
1.021258621742049854e+03 1.413191702325646294e-09 1.330142268550361218e+00 2.404132576896752127e+01
1.022235243850332836e+03 1.432745076910626454e-09 1.329795545744648422e+00 2.400790354714180808e+01
1.023211865958615704e+03 1.451073418926803434e-09 1.328533653155433703e+00 2.400755839510220468e+01
1.024188488066898572e+03 1.469163064165953402e-09 1.326285290382858140e+00 2.404295818637897142e+01
1.025165110175181553e+03 1.487834233099852360e-09 1.323040439282053615e+00 2.411479755987280882e+01
1.026141732283464535e+03 1.507314866596103824e-09 1.318859826364072285e+00 2.422144009300957279e+01
1.027118354391747289e+03 1.526894924894825232e-09 1.313875851299287856e+00 2.435879748300673953e+01
1.028094976500030270e+03 1.544892317295326009e-09 1.308282039046978706e+00 2.452052429407097378e+01
1.029071598608313252e+03 1.559157592387063168e-09 1.302310317151636809e+00 2.469859281148867325e+01
1.030048220716596234e+03 1.568041349981610856e-09 1.296197765488161568e+00 2.488439961686212953e+01
1.031024842824879215e+03 1.571322138312420781e-09 1.290150348815728432e+00 2.507020659600581425e+01
1.032001464933162424e+03 1.570452131488826324e-09 1.284314398146719993e+00 2.525029108830295499e+01
1.032978087041445633e+03 1.567891412676393460e-09 1.278768040160654262e+00 2.542130427088906686e+01
1.033954709149728615e+03 1.565955288411554467e-09 1.273535953939398668e+00 2.558185368830538309e+01
1.034931331258011596e+03 1.565918268599633115e-09 1.268619046274739981e+00 2.573152481431761629e+01
